List of Haircut
Date Uploaded: 20200630
Date|Instrument Code|Instrument Name|Haircut (%)|Keterangan|
20200630|DVLA|Darya-Varia Laboratoria Tbk.|65|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|DWGL|Dwi Guna Laksana Tbk.|100|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|DYAN|Dyandra Media International Tbk.|30|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|EAST|Eastparc Hotel Tbk.|35|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|ECII|Electronic City Indonesia Tbk.|65|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|EKAD|Ekadharma International Tbk.|10|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|ELSA|Elnusa Tbk.|25|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|ELTY|Bakrieland Development Tbk.|75|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|EMDE|Megapolitan Developments Tbk.|75|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|EMTK|Elang Mahkota Teknologi Tbk.|75|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
